model,selected_threshold,evaluation_threshold,runtime_warn_threshold,runtime_block_threshold,selection_method,accuracy,precision,recall,f1,f2,roc_auc,average_precision,fp,fn,recommendation
logistic_regression,0.78,0.63,0.58,0.78,fallback_max_precision_with_recall_ge_0.75,0.738,0.8232662192393736,0.5395894428152492,0.6519043401240036,0.5795275590551181,0.8681597702715298,0.819972732453105,79,314,comparison_only
linear_svm,0.95,0.81,0.75,0.95,fallback_max_precision_with_recall_ge_0.75,0.7313333333333333,0.8394160583941606,0.5058651026392962,0.6312900274473925,0.5495380694488691,0.8346128888857023,0.8119885513872622,66,337,comparison_only
random_forest,0.83,0.62,0.63,0.83,fallback_max_precision_with_recall_ge_0.75,0.6953333333333334,0.6436781609195402,0.7390029325513197,0.6880546075085324,0.7177442324124181,0.7957216298962493,0.7653907922976085,279,178,comparison_only
roberta_v5_vi,0.2,0.05,0.05,0.2,production_precision_ge_0.80_recall_ge_0.80_min_fp,0.9933333333333333,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.999658526267486,0.9995807879762442,5,5,demo_and_primary_runtime
xlm_roberta_v5_vi,0.77,0.37,0.37,0.77,high_precision_block_precision_ge_0.90,0.73,0.8901408450704226,0.4633431085043988,0.609450337512054,0.5124878365228673,0.870271350622719,0.8426538524830811,39,366,warning_only_high_precision_block_optional
