model,threshold,precision,recall,f1,f2,fp,fn,is_selected
logistic_regression,0.01,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,16555,0,False
logistic_regression,0.02,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,16555,0,False
logistic_regression,0.03,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,16555,0,False
logistic_regression,0.04,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,16555,0,False
logistic_regression,0.05,0.4937154041407994,1.0,0.661056855639498,0.8298123875610383,16555,0,False
logistic_regression,0.06,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,16554,0,False
logistic_regression,0.07,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,16554,0,False
logistic_regression,0.08,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,16554,0,False
logistic_regression,0.09,0.49373050339470304,1.0,0.66107039023791,0.8298209182309764,16554,0,False
logistic_regression,0.1,0.49376070467335453,1.0,0.6610974610974611,0.8298379800970475,16552,0,False
logistic_regression,0.11,0.4938211183164077,1.0,0.6611516094684249,0.8298721059341202,16548,0,False
logistic_regression,0.12,0.4938362240371968,1.0,0.6611651479471691,0.8298806378319471,16547,0,False
logistic_regression,0.13,0.4938362240371968,1.0,0.6611651479471691,0.8298806378319471,16547,0,False
logistic_regression,0.14,0.4938966561630006,1.0,0.6612193074071798,0.8299147671776523,16543,0,True
logistic_regression,0.15,0.4938811723673744,0.9999380574826561,0.6611918902314151,0.8298718924143036,16543,1,False
logistic_regression,0.16,0.4939261344512102,0.9998761149653121,0.6612186379928315,0.8298631460974532,16539,2,False
logistic_regression,0.17,0.49395636341381316,0.9998761149653121,0.6612457243512279,0.8298802118143026,16537,2,False
logistic_regression,0.18,0.4939401358878619,0.9996902874132805,0.6611905444713015,0.8297686375321337,16535,5,False
logistic_regression,0.19,0.4939545134531207,0.9995664023785926,0.6611763259787352,0.8297084683017122,16532,7,False
logistic_regression,0.2,0.49395266235953333,0.9992566897918731,0.6611068991660348,0.8295366894636705,16527,12,False
logistic_regression,0.21,0.4939043068063469,0.9987611496531219,0.6609551137528182,0.8292361811112711,16522,20,False
logistic_regression,0.22,0.49394747326162236,0.9983894945490585,0.660912352639672,0.8290555206929542,16513,26,False
logistic_regression,0.23,0.4939293598233996,0.9978939544103073,0.6607875307629204,0.8287719153839822,16506,34,False
logistic_regression,0.24,0.49401840490797544,0.9975842418235877,0.6607992778598392,0.8286511072692846,16495,39,False
