dataset,model,label,score_bin,count
old_prompt_injection_jsonl_test,roberta_v4,0,0.2-0.3,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.3-0.4,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.4-0.5,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.5-0.6,0
old_prompt_injection_jsonl_test,roberta_v4,0,0.6-0.7,2
old_prompt_injection_jsonl_test,roberta_v4,0,0.7-0.8,1
old_prompt_injection_jsonl_test,roberta_v4,0,0.8-0.9,1
old_prompt_injection_jsonl_test,roberta_v4,0,0.9-1.0,37
old_prompt_injection_jsonl_test,roberta_v4,1,0.0-0.1,3
old_prompt_injection_jsonl_test,roberta_v4,1,0.1-0.2,0
old_prompt_injection_jsonl_test,roberta_v4,1,0.2-0.3,0
old_prompt_injection_jsonl_test,roberta_v4,1,0.3-0.4,0
old_prompt_injection_jsonl_test,roberta_v4,1,0.4-0.5,2
old_prompt_injection_jsonl_test,roberta_v4,1,0.5-0.6,0
old_prompt_injection_jsonl_test,roberta_v4,1,0.6-0.7,0
old_prompt_injection_jsonl_test,roberta_v4,1,0.7-0.8,1
old_prompt_injection_jsonl_test,roberta_v4,1,0.8-0.9,1
old_prompt_injection_jsonl_test,roberta_v4,1,0.9-1.0,243
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.0-0.1,136
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.1-0.2,23
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.2-0.3,16
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.3-0.4,17
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.4-0.5,13
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.5-0.6,11
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.6-0.7,15
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.7-0.8,7
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.8-0.9,9
old_prompt_injection_jsonl_test,xlm_roberta_v4,0,0.9-1.0,3
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.0-0.1,18
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.1-0.2,21
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.2-0.3,30
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.3-0.4,23
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.4-0.5,25
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.5-0.6,21
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.6-0.7,24
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.7-0.8,22
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.8-0.9,41
old_prompt_injection_jsonl_test,xlm_roberta_v4,1,0.9-1.0,25
