model,threshold,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,false_positive_rate,false_negative_rate
logistic_regression,0.05,0.4576923076923077,0.45664739884393063,1.0,0.626984126984127,0.8077709611451943,0.8510682709367686,0.8148629911175866,1,282,0,237,0.9964664310954063,0.0
logistic_regression,0.06,0.4634615384615385,0.45930232558139533,1.0,0.6294820717131474,0.8094262295081968,0.8510682709367686,0.8148629911175866,4,279,0,237,0.9858657243816255,0.0
logistic_regression,0.07,0.4634615384615385,0.45930232558139533,1.0,0.6294820717131474,0.8094262295081968,0.8510682709367686,0.8148629911175866,4,279,0,237,0.9858657243816255,0.0
logistic_regression,0.08,0.4634615384615385,0.45930232558139533,1.0,0.6294820717131474,0.8094262295081968,0.8510682709367686,0.8148629911175866,4,279,0,237,0.9858657243816255,0.0
logistic_regression,0.09,0.4653846153846154,0.4601941747572815,1.0,0.6303191489361702,0.8099794941900205,0.8510682709367686,0.8148629911175866,5,278,0,237,0.9823321554770318,0.0
logistic_regression,0.1,0.4673076923076923,0.46108949416342415,1.0,0.6311584553928096,0.8105335157318742,0.8510682709367686,0.8148629911175866,6,277,0,237,0.9787985865724381,0.0
logistic_regression,0.11,0.46923076923076923,0.4619883040935672,1.0,0.632,0.811088295687885,0.8510682709367686,0.8148629911175866,7,276,0,237,0.9752650176678446,0.0
logistic_regression,0.12,0.47115384615384615,0.462890625,1.0,0.6328437917222964,0.8116438356164384,0.8510682709367686,0.8148629911175866,8,275,0,237,0.9717314487632509,0.0
logistic_regression,0.13,0.47307692307692306,0.4637964774951076,1.0,0.6336898395721925,0.8122001370801919,0.8510682709367686,0.8148629911175866,9,274,0,237,0.9681978798586572,0.0
logistic_regression,0.14,0.47884615384615387,0.46653543307086615,1.0,0.636241610738255,0.8138736263736264,0.8510682709367686,0.8148629911175866,12,271,0,237,0.9575971731448764,0.0
logistic_regression,0.15,0.47884615384615387,0.46653543307086615,1.0,0.636241610738255,0.8138736263736264,0.8510682709367686,0.8148629911175866,12,271,0,237,0.9575971731448764,0.0
logistic_regression,0.16,0.47884615384615387,0.46653543307086615,1.0,0.636241610738255,0.8138736263736264,0.8510682709367686,0.8148629911175866,12,271,0,237,0.9575971731448764,0.0
logistic_regression,0.17,0.4807692307692308,0.46745562130177515,1.0,0.6370967741935484,0.8144329896907216,0.8510682709367686,0.8148629911175866,13,270,0,237,0.9540636042402827,0.0
logistic_regression,0.18,0.4826923076923077,0.4683794466403162,1.0,0.6379542395693136,0.8149931224209078,0.8510682709367686,0.8148629911175866,14,269,0,237,0.950530035335689,0.0
logistic_regression,0.19,0.48653846153846153,0.47023809523809523,1.0,0.6396761133603239,0.8161157024793388,0.8510682709367686,0.8148629911175866,16,267,0,237,0.9434628975265018,0.0
logistic_regression,0.2,0.48653846153846153,0.47023809523809523,1.0,0.6396761133603239,0.8161157024793388,0.8510682709367686,0.8148629911175866,16,267,0,237,0.9434628975265018,0.0
logistic_regression,0.21,0.48846153846153845,0.4711729622266402,1.0,0.6405405405405405,0.8166781529979324,0.8510682709367686,0.8148629911175866,17,266,0,237,0.9399293286219081,0.0
