model,threshold,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,false_positive_rate,false_negative_rate
xlm_roberta_v5_vi,0.05,0.5326923076923077,0.49372384937238495,0.9957805907172996,0.6601398601398601,0.8274894810659187,0.8678639054136661,0.8504652942583789,41,242,1,236,0.8551236749116607,0.004219409282700422
xlm_roberta_v5_vi,0.06,0.5442307692307692,0.5,0.9957805907172996,0.6657263751763046,0.8309859154929577,0.8678639054136661,0.8504652942583789,47,236,1,236,0.833922261484099,0.004219409282700422
xlm_roberta_v5_vi,0.07,0.5615384615384615,0.5098039215686274,0.9873417721518988,0.6724137931034483,0.8315565031982942,0.8678639054136661,0.8504652942583789,58,225,3,234,0.7950530035335689,0.012658227848101266
xlm_roberta_v5_vi,0.08,0.5788461538461539,0.5200892857142857,0.9831223628691983,0.6802919708029197,0.8345272206303725,0.8678639054136661,0.8504652942583789,68,215,4,233,0.7597173144876325,0.016877637130801686
xlm_roberta_v5_vi,0.09,0.5961538461538461,0.530751708428246,0.9831223628691983,0.6893491124260355,0.839942321557318,0.8678639054136661,0.8504652942583789,77,206,4,233,0.7279151943462897,0.016877637130801686
xlm_roberta_v5_vi,0.1,0.6173076923076923,0.5446009389671361,0.9789029535864979,0.6998491704374057,0.8442503639010189,0.8678639054136661,0.8504652942583789,89,194,5,232,0.6855123674911661,0.02109704641350211
xlm_roberta_v5_vi,0.11,0.6288461538461538,0.5526315789473685,0.9746835443037974,0.7053435114503817,0.8455344070278185,0.8678639054136661,0.8504652942583789,96,187,6,231,0.6607773851590106,0.02531645569620253
xlm_roberta_v5_vi,0.12,0.6423076923076924,0.5620437956204379,0.9746835443037974,0.7129629629629629,0.8498896247240618,0.8678639054136661,0.8504652942583789,103,180,6,231,0.6360424028268551,0.02531645569620253
xlm_roberta_v5_vi,0.13,0.6557692307692308,0.572139303482587,0.9704641350210971,0.7198748043818466,0.8518518518518519,0.8678639054136661,0.8504652942583789,111,172,7,230,0.607773851590106,0.029535864978902954
xlm_roberta_v5_vi,0.14,0.6615384615384615,0.5764411027568922,0.9704641350210971,0.7232704402515723,0.8537490720118782,0.8678639054136661,0.8504652942583789,114,169,7,230,0.5971731448763251,0.029535864978902954
xlm_roberta_v5_vi,0.15,0.6865384615384615,0.5958549222797928,0.9704641350210971,0.7383627608346709,0.8620689655172413,0.8678639054136661,0.8504652942583789,127,156,7,230,0.5512367491166078,0.029535864978902954
xlm_roberta_v5_vi,0.16,0.7038461538461539,0.6106666666666667,0.9662447257383966,0.7483660130718954,0.8654572940287226,0.8678639054136661,0.8504652942583789,137,146,8,229,0.5159010600706714,0.03375527426160337
xlm_roberta_v5_vi,0.17,0.7057692307692308,0.6135135135135135,0.9578059071729957,0.7479406919275123,0.8611532625189682,0.8678639054136661,0.8504652942583789,140,143,10,227,0.5053003533568905,0.04219409282700422
xlm_roberta_v5_vi,0.18,0.7134615384615385,0.6202185792349727,0.9578059071729957,0.7529021558872305,0.8637747336377474,0.8678639054136661,0.8504652942583789,144,139,10,227,0.4911660777385159,0.04219409282700422
xlm_roberta_v5_vi,0.19,0.7173076923076923,0.625,0.9493670886075949,0.7537688442211056,0.8600917431192661,0.8678639054136661,0.8504652942583789,148,135,12,225,0.47703180212014135,0.05063291139240506
xlm_roberta_v5_vi,0.2,0.7307692307692307,0.6373937677053825,0.9493670886075949,0.7627118644067796,0.8647194465795542,0.8678639054136661,0.8504652942583789,155,128,12,225,0.45229681978798586,0.05063291139240506
xlm_roberta_v5_vi,0.21,0.7346153846153847,0.6418338108882522,0.9451476793248945,0.764505119453925,0.8635312259059368,0.8678639054136661,0.8504652942583789,158,125,13,224,0.4416961130742049,0.05485232067510549
xlm_roberta_v5_vi,0.22,0.7307692307692307,0.6405797101449275,0.9324894514767933,0.7594501718213058,0.8546017014694509,0.8678639054136661,0.8504652942583789,159,124,16,221,0.4381625441696113,0.06751054852320675
xlm_roberta_v5_vi,0.23,0.7346153846153847,0.6460176991150443,0.9240506329113924,0.7604166666666666,0.8508158508158508,0.8678639054136661,0.8504652942583789,163,120,18,219,0.42402826855123676,0.0759493670886076
xlm_roberta_v5_vi,0.24,0.7326923076923076,0.6458333333333334,0.9156118143459916,0.7574171029668412,0.8450155763239875,0.8678639054136661,0.8504652942583789,164,119,20,217,0.4204946996466431,0.08438818565400844
xlm_roberta_v5_vi,0.25,0.7346153846153847,0.6486486486486487,0.9113924050632911,0.7578947368421053,0.8430913348946136,0.8678639054136661,0.8504652942583789,166,117,21,216,0.4134275618374558,0.08860759493670886
xlm_roberta_v5_vi,0.26,0.7384615384615385,0.654434250764526,0.9029535864978903,0.7588652482269503,0.8392156862745098,0.8678639054136661,0.8504652942583789,170,113,23,214,0.3992932862190813,0.0970464135021097
xlm_roberta_v5_vi,0.27,0.7442307692307693,0.6614906832298136,0.8987341772151899,0.7620751341681574,0.8385826771653543,0.8678639054136661,0.8504652942583789,174,109,24,213,0.38515901060070673,0.10126582278481013
xlm_roberta_v5_vi,0.28,0.75,0.6677115987460815,0.8987341772151899,0.7661870503597122,0.840568271507498,0.8678639054136661,0.8504652942583789,177,106,24,213,0.3745583038869258,0.10126582278481013
xlm_roberta_v5_vi,0.29,0.7538461538461538,0.6719242902208202,0.8987341772151899,0.7689530685920578,0.841897233201581,0.8678639054136661,0.8504652942583789,179,104,24,213,0.3674911660777385,0.10126582278481013
xlm_roberta_v5_vi,0.3,0.7538461538461538,0.6730158730158731,0.8945147679324894,0.7681159420289855,0.8392715756136183,0.8678639054136661,0.8504652942583789,180,103,25,212,0.36395759717314485,0.10548523206751055
xlm_roberta_v5_vi,0.31,0.7596153846153846,0.6806451612903226,0.890295358649789,0.7714808043875686,0.8386327503974563,0.8678639054136661,0.8504652942583789,184,99,26,211,0.3498233215547703,0.10970464135021098
