model,display_name,checkpoint,device,fp16_inference,threshold,sample_count,accuracy,balanced_accuracy,precision,recall,specificity,f1,f2,roc_auc,pr_auc,false_positive_rate,false_negative_rate,mcc,tn,fp,fn,tp,confusion_matrix,inference_time_seconds,samples_per_second,mean_latency_ms,recommended_baseline,recommendation_reason
roberta_v4,RoBERTa v4,/content/prompt-injection-detector/models/transformers/roberta_v4,cuda,True,0.5,942,0.8450106157112527,0.8316332218506132,0.8394648829431438,0.9094202898550725,0.7538461538461538,0.8730434782608696,0.894511760513186,0.9146623002601265,0.9293341066232754,0.24615384615384617,0.09057971014492754,0.6785159402474218,294,96,50,502,"[[294, 96], [50, 502]]",1.9582110730098066,481.0513090154927,2.0787803322821725,True,"RoBERTa v4 có F2 cao nhất (0.894512) tại raw softmax threshold 0.5; tie-break lần lượt dùng PR-AUC (0.929334), MCC (0.678516), balanced accuracy và throughput. Đây chỉ là baseline cho thí nghiệm tiếp theo, không phải khuyến nghị production."
roberta_v5_vi,RoBERTa v5 VI,/content/prompt-injection-detector/models/transformers/roberta_v5_vi,cuda,True,0.5,942,0.8673036093418259,0.8822603121516165,0.9733924611973392,0.7952898550724637,0.9692307692307692,0.8753738783649053,0.8254983076344491,0.9735321441843181,0.9788628856900312,0.03076923076923077,0.20471014492753623,0.753810237223678,378,12,113,439,"[[378, 12], [113, 439]]",1.6544808219969127,569.3629007213465,1.7563490679372746,False,
xlm_roberta_v5_vi,XLM-RoBERTa v5 VI,/content/prompt-injection-detector/models/transformers/xlm_roberta_v5_vi,cuda,True,0.5,942,0.5944798301486199,0.6182413600891862,0.7361111111111112,0.48007246376811596,0.7564102564102564,0.581140350877193,0.5159657320872274,0.6114943329617242,0.7155666596271555,0.24358974358974358,0.519927536231884,0.23971130263610307,295,95,287,265,"[[295, 95], [287, 265]]",1.7515279189919966,537.8161488525518,1.8593714638980856,False,
