model,status,accuracy,precision,recall,f1,tp,fp,tn,fn,avg_latency_ms,available_prompts,unavailable_prompts
logistic_regression,available,0.98,0.961538,1.0,0.980392,250,10,240,0,3.09292,500,0
linear_svm,available,0.988,0.976562,1.0,0.988142,250,6,244,0,3.406,500,0
random_forest,available,0.992,0.984252,1.0,0.992063,250,4,246,0,54.64758,500,0
distilbert,available,0.956,0.963415,0.948,0.955645,237,9,241,13,57.55282,500,0
roberta,available,0.958,0.932075,0.988,0.959223,247,18,232,3,49.86798,500,0
hybrid,available,0.958,0.922509,1.0,0.959693,250,21,229,0,83.60308,500,0
