model,dataset,eval_threshold,warn_threshold,block_threshold,method,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,recommendation,scope
logistic_regression,"vi_test_processed.csv (test, 1500)",0.63,0.58,0.78,maximize_f1,0.7646666666666667,0.6789989118607181,0.9149560117302052,0.7795128044971893,0.855497669317247,0.8681597702715298,0.819972732453105,523,295,58,624,comparison baseline,latest threshold evaluation; no retraining
linear_svm,"vi_test_processed.csv (test, 1500)",0.81,0.75,0.95,maximize_f1,0.746,0.6946959896507116,0.7873900293255132,0.7381443298969073,0.766923736075407,0.8346128888857023,0.8119885513872622,582,236,145,537,comparison baseline,latest threshold evaluation; no retraining
random_forest,"vi_test_processed.csv (test, 1500)",0.62,0.63,0.83,maximize_f1,0.6426666666666667,0.5647163120567376,0.9340175953079178,0.7038674033149172,0.8259854771784232,0.7957216298962493,0.7653907922976085,327,491,45,637,comparison baseline,latest threshold evaluation; no retraining
roberta_v5_vi,"vi_test_processed.csv (test, 1500)",0.05,0.05,0.2,maximize_f1,0.9933333333333333,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.9926686217008798,0.999658526267486,0.9995807879762442,813,5,5,677,primary runtime/demo,latest threshold evaluation; no retraining
xlm_roberta_v5_vi,"vi_test_processed.csv (test, 1500)",0.37,0.37,0.77,maximize_f1,0.7813333333333333,0.7185185185185186,0.8533724340175953,0.7801608579088471,0.8224985867721877,0.870271350622719,0.8426538524830811,590,228,100,582,warning-only multilingual auxiliary,latest threshold evaluation; no retraining
distilbert_v4,"hf_prompt_injection_test.csv (test, 32699)",0.81,0.81,0.95,historical maximize_f2,0.993944768953179,0.9922820449493702,0.995478196233895,0.9938775510204082,0.994837319863319,0.9996109987461083,0.9996643131116343,16430,125,73,16071,deprecated historical comparison,historical evaluation; different dataset/domain
roberta_v4,"vi_test_processed.csv (test, 1500)",0.18,,,historical maximize_f2,0.8273333333333334,0.7793923381770145,0.8651026392961877,0.8200138985406532,0.8464849354375896,0.9392427707949436,0.9311132806629404,651,167,92,590,historical parent checkpoint,historical evaluation; different dataset/domain
xlm_roberta_v4,"vi_test_processed.csv (test, 1500)",0.27,,,historical maximize_f2,0.7106666666666667,0.6260162601626016,0.9032258064516129,0.7394957983193278,0.8297413793103449,0.8494799919695416,0.8180255958432795,450,368,66,616,historical partial/head-only,historical evaluation; different dataset/domain
